machine_configuration,use_buffer,write_buffer_bytes,connection_type,read_buffer_bytes,duration_sec,num_syscalls,short_reads,throughput (MiB/s)
gcp_amd_localhost,false,4096,unix,1,1.621767913,6906077,0,4.1
gcp_amd_localhost,false,4096,unix,2,2.010132824,8517888,0,8.1
gcp_amd_localhost,false,4096,unix,4,2.032812221,8565311,0,16.1
gcp_amd_localhost,false,4096,unix,8,1.919605417,8103728,0,32.2
gcp_amd_localhost,false,4096,unix,16,1.998312785,8368201,0,63.9
gcp_amd_localhost,false,4096,unix,32,1.743453053,7181329,0,125.7
gcp_amd_localhost,false,4096,unix,64,2.072518772,8323277,0,245.1
gcp_amd_localhost,false,4096,unix,128,2.098095902,7742936,1,450.5
gcp_amd_localhost,false,4096,unix,256,2.046067731,7092200,1,846.3
gcp_amd_localhost,false,4096,unix,512,1.604968329,4572474,0,1391.1
gcp_amd_localhost,false,4096,unix,1024,2.306950366,4255320,1,1801.3
gcp_amd_localhost,false,4096,unix,2048,2.280643508,2455194,1,2102.6
gcp_amd_localhost,false,4096,unix,4096,1.50928675,681199,0,1763
gcp_amd_localhost,false,4096,unix,8192,1.884511697,444062,24,1840.9
gcp_amd_localhost,false,4096,unix,16384,2.036594005,248794,48,1908.6
gcp_amd_localhost,false,4096,unix,32768,1.451121729,86584,106,1863.4
gcp_amd_localhost,false,4096,unix,65536,1.523767621,47331,42,1940.5
gcp_amd_localhost,false,4096,unix,131072,2.063657784,31258,56,1891.4
gcp_amd_localhost,false,4096,unix,262144,2.0438721,15709,64,1917.6
gcp_amd_localhost,false,4096,unix,524288,2.063691954,7791,53,1881
gcp_amd_localhost,false,4096,unix,1048576,1.993948004,3967,61,1972.6
gcp_amd_localhost,false,4096,unix,2097152,2.159158881,2036,62,1853.5
gcp_amd_localhost,false,4096,unix,4194304,2.085396288,1031,83,1881.1
gcp_amd_localhost,false,4096,unix,8388608,2.068556477,500,48,1825.4
gcp_amd_localhost,false,4096,unix,16777216,1.956777478,257,75,1669
gcp_amd_localhost,false,4096,TCP,2,2.00264658,6863418,1,6.5
gcp_amd_localhost,false,4096,TCP,4,2.035083384,6932410,1,13
gcp_amd_localhost,false,4096,TCP,8,2.0322078120000002,6903932,0,25.9
gcp_amd_localhost,false,4096,TCP,16,1.810273144,6073490,1,51.2
gcp_amd_localhost,false,4096,TCP,32,1.962651402,6559529,1,102
gcp_amd_localhost,false,4096,TCP,64,1.870158526,6075335,0,198.3
gcp_amd_localhost,false,4096,TCP,128,2.052961996,6478782,0,385.2
gcp_amd_localhost,false,4096,TCP,256,2.012297767,6207325,0,753.1
gcp_amd_localhost,false,4096,TCP,512,2.195481337,6293267,0,1399.6
gcp_amd_localhost,false,4096,TCP,1024,2.740297023,5678594,3,2023.7
gcp_amd_localhost,false,4096,TCP,2048,1.784116056,1446231,10,1583.2
gcp_amd_localhost,false,4096,TCP,4096,4.297507488,3625191,64,3295.1
gcp_amd_localhost,false,4096,TCP,8192,2.4063347840000002,888858,78422,2758.6
gcp_amd_localhost,false,4096,TCP,16384,2.227896991,442604,89965,2781.4
gcp_amd_localhost,false,4096,TCP,32768,2.210627975,231565,96524,2659.1
gcp_amd_localhost,false,4096,TCP,65536,1.504813666,91657,84697,2333.7
gcp_amd_localhost,false,4096,TCP,131072,2.354830663,151387,147745,2432.5
gcp_amd_localhost,false,4096,TCP,262144,1.945205656,144195,142982,2813.8
gcp_amd_localhost,false,4096,TCP,524288,2.238128255,148408,147752,2524.8
gcp_amd_localhost,false,4096,TCP,1048576,1.8518539779999998,125810,125110,2799.5
gcp_amd_localhost,false,4096,TCP,2097152,2.232006433,33783,31536,2522.8
gcp_amd_localhost,false,4096,TCP,4194304,2.051780389,105155,105155,2819.4
